participant,I,i,I7,i7,viio,viiø7,viio7,iii,III,iii7,III7,vi,VI,vi7,VI7,ii,iio,ii7,iiø7,IV,iv,IV7,iv7,N6,It6,Fr6,Ger6,V/V,V7/V,viio/V,viio7/V,How attracted,block,group
1,5.454,3.501,4.575,4.583,6.113,4.794,4.82,5.504,6.054,6.223,5.673,6.248,5.242,5.944,5.428,6.231,6.011,5.217,5.715,5.699,5.259,4.727,5.859,5.2,4.499,4.583,5.006,6.738,6.763,5.175,5.783,na,1,prolific
2,5.656,6.189,3.206,5.555,3.645,1.693,3.07,3.096,3.645,6.603,4.448,4.854,5.851,2.792,5.251,4.786,4.059,3.89,3.366,5.504,3.679,2.251,3.172,3.789,2.817,2.056,5.242,5.766,3.78,1.744,3.696,na,1,prolific
3,4.346,6.4,5.749,4.507,6.341,6.518,5.487,5.53,6.932,6.696,6.485,6.425,4.389,5.361,4.963,7,4.465,6.561,6.087,6.087,6.856,5.69,5.285,5.724,3.332,5.623,6.569,5.631,6.265,4.651,5.504,na,1,prolific
4,3.197,6.831,6.392,4.059,6.028,4.913,4.515,7,6.679,5.732,6.214,4.71,5.986,5.572,6.62,5.496,6.282,5.056,4.617,7,5.31,6.011,3.003,6.206,4.921,6.527,4.668,6.07,6.899,6.366,3.907,na,1,prolific
5,6.214,6.383,6.223,6.003,4.575,6.011,6.037,5.69,6.67,4.287,5.631,3.628,6.248,3.535,5.885,6.704,5.918,4.558,5.344,6.594,5.986,4.887,6.544,6.079,5.597,4.025,6.417,5.039,6.079,4.532,6.417,na,1,prolific
6,6.323,3.361,2.51,2.548,1.484,6.226,1.213,7,3.865,1.29,2.413,4.929,4.329,4.445,1.735,5.432,1.619,4.368,2.277,6.497,4.232,1.426,3.439,6.245,3.11,1.523,1.503,6.284,3.535,4.581,1.329,na,1,prolific
7,5.023,6.324,4.067,3.158,2.969,2.834,4.71,5.09,3.434,6.839,2.979,6.492,3.924,5.689,2.614,4.254,3.645,4.218,3.051,3.282,3.621,1.214,3.941,3.183,1.963,1.085,1.989,6.315,3.55,1.642,3.443,na,1,prolific
8,5.361,4.777,1.997,4.059,6.121,1.034,4.389,5.437,4.059,4.837,4.499,4.118,4.127,5.994,4.946,6.13,4.169,4.499,5.107,4.101,4.228,4.397,4.211,3.831,3.746,4.101,4.372,5.301,4.997,4.304,4.431,na,1,prolific
9,5.597,6.13,4.515,4.989,4.406,5.006,3.73,4.355,5.031,3.332,5.479,4.642,6.552,4.955,5.048,6.138,4.93,5.149,6.07,4.997,6.054,6.155,4.592,5.082,3.823,4.997,5.031,7,5.149,5.53,3.915,na,1,prolific
10,4.524,4.431,4.592,3.366,4.532,5.538,5.183,4.727,4.701,3.907,2.673,3.315,6.569,3.941,6.721,5.648,4.042,6.324,5.555,3.493,5.056,3.476,5.563,2.977,3.163,4.228,5.301,6.07,5.521,2.2,3.146,na,1,prolific
11,5.065,1.017,6.138,4.211,4.059,5.073,6.307,2.056,6.172,6.949,4.938,5.851,3.958,6.223,4.059,6.949,5.732,5.006,5.318,5.014,6.037,5.014,4.059,5.023,6.155,5.234,1.008,7,7,7,6.949,na,1,prolific
